step 0: train loss 3.1927, val loss 3.1932
iter 0: loss 3.1854, time 304.88ms, mfu -100.00%
iter 1: loss 2.6375, time 23.50ms, mfu -100.00%
iter 2: loss 2.4502, time 20.94ms, mfu -100.00%
iter 3: loss 2.2398, time 20.71ms, mfu -100.00%
iter 4: loss 2.0965, time 19.50ms, mfu -100.00%
iter 5: loss 1.9832, time 24.54ms, mfu 0.05%
iter 6: loss 1.9592, time 21.76ms, mfu 0.05%
iter 7: loss 1.8357, time 20.68ms, mfu 0.05%
iter 8: loss 1.7635, time 24.75ms, mfu 0.05%
iter 9: loss 1.7140, time 21.26ms, mfu 0.05%
iter 10: loss 1.8034, time 19.49ms, mfu 0.05%
iter 11: loss 1.6270, time 20.93ms, mfu 0.06%
iter 12: loss 1.6503, time 19.65ms, mfu 0.06%
iter 13: loss 1.5866, time 21.45ms, mfu 0.06%
iter 14: loss 1.5635, time 19.80ms, mfu 0.06%
iter 15: loss 1.4938, time 20.03ms, mfu 0.06%
iter 16: loss 1.5316, time 20.96ms, mfu 0.06%
iter 17: loss 1.4347, time 21.43ms, mfu 0.06%
iter 18: loss 1.4337, time 19.79ms, mfu 0.06%
iter 19: loss 1.3787, time 20.30ms, mfu 0.06%
iter 20: loss 1.3721, time 20.37ms, mfu 0.06%
iter 21: loss 1.3836, time 20.72ms, mfu 0.06%
iter 22: loss 1.3262, time 20.85ms, mfu 0.06%
iter 23: loss 1.2990, time 20.26ms, mfu 0.06%
iter 24: loss 1.2519, time 19.88ms, mfu 0.06%
iter 25: loss 1.2615, time 20.40ms, mfu 0.06%
iter 26: loss 1.2126, time 21.10ms, mfu 0.06%
iter 27: loss 1.2058, time 20.73ms, mfu 0.06%
iter 28: loss 1.1354, time 21.50ms, mfu 0.06%
iter 29: loss 1.1582, time 21.22ms, mfu 0.06%
iter 30: loss 1.0966, time 20.58ms, mfu 0.06%
iter 31: loss 1.1014, time 20.27ms, mfu 0.06%
iter 32: loss 1.0635, time 20.70ms, mfu 0.06%
iter 33: loss 1.0726, time 20.16ms, mfu 0.06%
iter 34: loss 1.0783, time 20.06ms, mfu 0.06%
iter 35: loss 0.9998, time 19.85ms, mfu 0.06%
iter 36: loss 1.0102, time 20.83ms, mfu 0.06%
iter 37: loss 0.9752, time 21.45ms, mfu 0.06%
iter 38: loss 0.9416, time 20.98ms, mfu 0.06%
iter 39: loss 0.9287, time 20.42ms, mfu 0.06%
iter 40: loss 0.9122, time 19.82ms, mfu 0.06%
iter 41: loss 0.9744, time 20.24ms, mfu 0.06%
iter 42: loss 0.9374, time 20.90ms, mfu 0.06%
iter 43: loss 0.8784, time 20.23ms, mfu 0.06%
iter 44: loss 0.9048, time 20.92ms, mfu 0.06%
iter 45: loss 0.9228, time 21.59ms, mfu 0.06%
iter 46: loss 0.8622, time 21.22ms, mfu 0.06%
iter 47: loss 0.9197, time 18.64ms, mfu 0.06%
iter 48: loss 0.8899, time 18.28ms, mfu 0.06%
iter 49: loss 0.8001, time 18.75ms, mfu 0.06%
step 50: train loss 0.8393, val loss 0.8434
saving checkpoint to out/basic
iter 50: loss 0.8382, time 235.06ms, mfu 0.06%
iter 51: loss 0.8138, time 18.95ms, mfu 0.06%
iter 52: loss 0.7983, time 17.96ms, mfu 0.06%
iter 53: loss 0.8387, time 18.63ms, mfu 0.06%
iter 54: loss 0.8079, time 17.94ms, mfu 0.06%
iter 55: loss 0.8162, time 18.29ms, mfu 0.06%
iter 56: loss 0.7657, time 19.00ms, mfu 0.06%
iter 57: loss 0.7467, time 18.44ms, mfu 0.06%
iter 58: loss 0.7433, time 18.10ms, mfu 0.06%
iter 59: loss 0.7786, time 18.33ms, mfu 0.06%
iter 60: loss 0.7544, time 18.38ms, mfu 0.06%
iter 61: loss 0.7765, time 18.40ms, mfu 0.07%
iter 62: loss 0.7155, time 18.57ms, mfu 0.07%
iter 63: loss 0.7638, time 17.90ms, mfu 0.07%
iter 64: loss 0.7802, time 18.30ms, mfu 0.07%
iter 65: loss 0.7867, time 20.23ms, mfu 0.07%
iter 66: loss 0.6749, time 21.80ms, mfu 0.07%
iter 67: loss 0.7391, time 17.96ms, mfu 0.07%
iter 68: loss 0.7096, time 18.38ms, mfu 0.07%
iter 69: loss 0.6952, time 18.96ms, mfu 0.07%
iter 70: loss 0.6567, time 18.01ms, mfu 0.07%
iter 71: loss 0.6584, time 18.74ms, mfu 0.07%
iter 72: loss 0.7019, time 19.56ms, mfu 0.07%
iter 73: loss 0.6164, time 19.95ms, mfu 0.07%
iter 74: loss 0.7019, time 21.18ms, mfu 0.07%
iter 75: loss 0.6753, time 18.96ms, mfu 0.07%
iter 76: loss 0.6518, time 19.06ms, mfu 0.07%
iter 77: loss 0.6361, time 19.74ms, mfu 0.07%
iter 78: loss 0.6557, time 21.05ms, mfu 0.06%
iter 79: loss 0.6156, time 18.62ms, mfu 0.07%
iter 80: loss 0.6605, time 19.00ms, mfu 0.07%
iter 81: loss 0.6112, time 19.88ms, mfu 0.07%
iter 82: loss 0.6435, time 19.01ms, mfu 0.07%
iter 83: loss 0.6404, time 21.51ms, mfu 0.06%
iter 84: loss 0.6351, time 19.68ms, mfu 0.06%
iter 85: loss 0.6464, time 19.19ms, mfu 0.06%
iter 86: loss 0.6592, time 21.15ms, mfu 0.06%
iter 87: loss 0.6260, time 19.80ms, mfu 0.06%
iter 88: loss 0.5979, time 20.80ms, mfu 0.06%
iter 89: loss 0.6041, time 18.86ms, mfu 0.06%
iter 90: loss 0.5643, time 18.92ms, mfu 0.06%
iter 91: loss 0.6189, time 19.95ms, mfu 0.06%
iter 92: loss 0.5729, time 18.93ms, mfu 0.06%
iter 93: loss 0.6303, time 19.18ms, mfu 0.06%
iter 94: loss 0.5755, time 20.11ms, mfu 0.06%
iter 95: loss 0.5831, time 18.43ms, mfu 0.06%
iter 96: loss 0.5627, time 22.73ms, mfu 0.06%
iter 97: loss 0.5602, time 19.94ms, mfu 0.06%
iter 98: loss 0.5300, time 20.30ms, mfu 0.06%
iter 99: loss 0.5482, time 19.73ms, mfu 0.06%
step 100: train loss 0.5302, val loss 0.5298
saving checkpoint to out/basic
iter 100: loss 0.5112, time 267.74ms, mfu 0.06%
iter 101: loss 0.5338, time 19.13ms, mfu 0.06%
iter 102: loss 0.5117, time 19.43ms, mfu 0.06%
iter 103: loss 0.4831, time 19.93ms, mfu 0.06%
iter 104: loss 0.5317, time 19.77ms, mfu 0.06%
iter 105: loss 0.5296, time 20.94ms, mfu 0.06%
iter 106: loss 0.5808, time 19.36ms, mfu 0.06%
iter 107: loss 0.4946, time 20.88ms, mfu 0.06%
iter 108: loss 0.5287, time 18.37ms, mfu 0.06%
iter 109: loss 0.4932, time 23.28ms, mfu 0.06%
iter 110: loss 0.5178, time 20.60ms, mfu 0.06%
iter 111: loss 0.4887, time 21.56ms, mfu 0.06%
iter 112: loss 0.4628, time 20.35ms, mfu 0.06%
iter 113: loss 0.4860, time 21.16ms, mfu 0.06%
iter 114: loss 0.4857, time 22.35ms, mfu 0.06%
iter 115: loss 0.4845, time 23.62ms, mfu 0.06%
iter 116: loss 0.5026, time 19.04ms, mfu 0.06%
iter 117: loss 0.4828, time 20.37ms, mfu 0.06%
iter 118: loss 0.4852, time 18.27ms, mfu 0.06%
iter 119: loss 0.4478, time 18.59ms, mfu 0.06%
iter 120: loss 0.4825, time 19.36ms, mfu 0.06%
iter 121: loss 0.4334, time 18.33ms, mfu 0.06%
iter 122: loss 0.4412, time 45.17ms, mfu 0.06%
iter 123: loss 0.4784, time 24.33ms, mfu 0.06%
iter 124: loss 0.4732, time 18.53ms, mfu 0.06%
